,author,n,sensitivity,specificity,ppv,npv,tp,fn,fp,tn
0,Abdrabo,118,0.92,0.24,0.35,0.87,35,3,60,20
1,Agnihotri,875,0.99,0.05,0.59,0.8,502,5,349,19
2,Aragona,3171,0.92,0.15,0.38,0.76,1059,92,1717,303
3,Chang,225,0.89,0.09,0.19,0.76,43,5,161,16
4,Chavan,440,0.96,0.03,0.18,0.79,77,3,349,11
5,Galic,88,0.91,0.32,0.47,0.85,32,3,36,17
6,Hofer,188,0.92,0.29,0.46,0.85,69,6,80,33
7,Meigs,1524,0.61,0.74,0.34,0.89,168,107,324,925
8,Rashid,206,0.72,0.46,0.28,0.85,34,13,85,74
9,Richie,1167,0.82,0.48,0.31,0.9,212,46,472,437
10,Seo,4967,0.98,0.04,0.33,0.87,1568,31,3233,135
11,Shahab,404,0.98,0.19,0.13,0.98,44,0,291,69
12,Tauro,100,1.0,0.38,0.4,1.0,29,0,44,27
13,Wymenga,716,0.95,0.16,0.44,0.82,279,14,355,68
14,Li,505,0.826,0.664,0.756,0.751,234,49,74,148
15,Tay,332,0.93,0.5,0.35,0.96,69,5,129,129
